implementation,version,name,cold_ns,warm_ns,parse_ns,compile_ns,memory,exit_status
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,16982542,8696666,70283167,28756334,151900,0
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,17035333,8701667,67845708,26787917,153016,0
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,17552583,8498750,68167375,26394458,153548,0
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,22992250,15138750,45799958,25873417,148952,0
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,24595250,15593083,45680792,25935625,148804,0
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,24204041,15274250,45003833,28770833,148440,0
ajv,v8.20.0,ansible-meta,5945125,210709,533042,42706958,123080,0
ajv,v8.20.0,ansible-meta,5886334,202333,531250,43802625,121908,0
ajv,v8.20.0,ansible-meta,5921000,212542,523750,43824791,122632,0
ajv,v8.20.0,ansible-meta-invalid,5341250,83834,740375,45666125,106004,0
ajv,v8.20.0,ansible-meta-invalid,5314333,95333,650584,44120667,105480,0
ajv,v8.20.0,ansible-meta-invalid,5295916,96459,675333,43207333,105880,0
ajv,v8.20.0,aws-cdk,634625,38750,1532541,16001875,71992,0
ajv,v8.20.0,aws-cdk,627041,33625,1604375,18354417,73776,0
ajv,v8.20.0,aws-cdk,923542,37292,1176958,15818125,73188,0
ajv,v8.20.0,aws-cdk-invalid,510500,99334,865416,16068500,74576,0
ajv,v8.20.0,aws-cdk-invalid,512542,23334,877625,15547416,74780,0
ajv,v8.20.0,aws-cdk-invalid,547916,25625,867750,15933333,72700,0
ajv,v8.20.0,babelrc,1817208,130541,635125,21376542,79288,0
ajv,v8.20.0,babelrc,1773917,134334,647459,21874625,80440,0
ajv,v8.20.0,babelrc,1843208,139250,649958,25584125,78928,0
ajv,v8.20.0,babelrc-invalid,1801500,127250,1232750,22381791,86676,0
ajv,v8.20.0,babelrc-invalid,1657583,114042,1231542,21474625,85952,0
ajv,v8.20.0,babelrc-invalid,1703125,117917,1141542,22740000,84824,0
ajv,v8.20.0,clang-format,4883042,872875,320417,38182208,132860,0
ajv,v8.20.0,clang-format,4816417,985375,315958,37050458,134284,0
ajv,v8.20.0,clang-format,4835209,879625,344667,38015125,134400,0
ajv,v8.20.0,clang-format-invalid,4228417,132708,414958,38806417,86776,0
ajv,v8.20.0,clang-format-invalid,4036250,140416,398041,36719958,85184,0
ajv,v8.20.0,clang-format-invalid,3949250,132041,442500,37955500,88808,0
ajv,v8.20.0,cmake-presets,37442958,9663083,8454542,66830209,177916,0
ajv,v8.20.0,cmake-presets,40815750,9868000,8691000,66705583,178644,0
ajv,v8.20.0,cmake-presets,38972125,9633375,9016167,66693084,177892,0
ajv,v8.20.0,cmake-presets-invalid,32273292,8508917,10294834,70750125,189664,0
ajv,v8.20.0,cmake-presets-invalid,29263083,8206375,11303334,65384417,188996,0
ajv,v8.20.0,cmake-presets-invalid,29119917,8113750,11800750,69038833,189988,0
ajv,v8.20.0,code-climate,1951375,195709,5395292,20695916,83792,0
ajv,v8.20.0,code-climate,1940125,194417,5276208,23375750,81668,0
ajv,v8.20.0,code-climate,1875375,219917,4896959,22355583,84192,0
ajv,v8.20.0,code-climate-invalid,3196958,216792,4854584,22275084,83556,0
ajv,v8.20.0,code-climate-invalid,3244375,205458,4730833,20555208,85328,0
ajv,v8.20.0,code-climate-invalid,3346292,205208,5017084,20951583,84900,0
ajv,v8.20.0,cypress,6720709,3598458,2090917,30811958,103628,0
ajv,v8.20.0,cypress,5479667,2313875,1968792,33044583,101832,0
ajv,v8.20.0,cypress,5527166,2363625,1972875,29591750,103704,0
ajv,v8.20.0,cypress-invalid,3686250,784542,1483542,30055875,100464,0
ajv,v8.20.0,cypress-invalid,3636458,763584,1554000,30045584,101092,0
ajv,v8.20.0,cypress-invalid,3741167,754791,1539916,30299375,100740,0
ajv,v8.20.0,deno-rmUniqueItems,3074250,944500,3710584,26222333,94288,0
ajv,v8.20.0,deno-rmUniqueItems,3202167,942541,3660292,26977125,97616,0
ajv,v8.20.0,deno-rmUniqueItems,3194667,942042,3660041,27292084,97600,0
ajv,v8.20.0,deno-rmUniqueItems-invalid,2637958,424291,2723084,23647667,98148,0
ajv,v8.20.0,deno-rmUniqueItems-invalid,2606958,404209,2784875,26342167,96400,0
